"","param","ma","st_Year","season","med_seamo_ma","med_seamo_ma_yr"
"1","temp","Big Bend Seagrasses Aquatic Preserve",2004,"Winter","Jan 15",NA
"2","temp","Big Bend Seagrasses Aquatic Preserve",2004,"Spring","Feb 18","Apr 9"
"3","temp","Big Bend Seagrasses Aquatic Preserve",2004,"Summer","Jun 14","Jun 16"
"4","temp","Big Bend Seagrasses Aquatic Preserve",2004,"Fall","Aug 31","Oct 23"
"5","temp","Big Bend Seagrasses Aquatic Preserve",2005,"Winter","Jan 15","Feb 3"
"6","temp","Big Bend Seagrasses Aquatic Preserve",2005,"Spring","Feb 18",NA
"7","temp","Big Bend Seagrasses Aquatic Preserve",2005,"Summer","Jun 14",NA
"8","temp","Big Bend Seagrasses Aquatic Preserve",2005,"Fall","Aug 31",NA
"9","temp","Big Bend Seagrasses Aquatic Preserve",2006,"Winter","Jan 15","Dec 8"
"10","temp","Big Bend Seagrasses Aquatic Preserve",2006,"Spring","Feb 18","Dec 7"
"11","temp","Big Bend Seagrasses Aquatic Preserve",2006,"Summer","Jun 14",NA
"12","temp","Big Bend Seagrasses Aquatic Preserve",2006,"Fall","Aug 31","Aug 12"
"13","temp","Big Bend Seagrasses Aquatic Preserve",2007,"Winter","Jan 15","Mar 2"
"14","temp","Big Bend Seagrasses Aquatic Preserve",2007,"Spring","Feb 18","Mar 9"
"15","temp","Big Bend Seagrasses Aquatic Preserve",2007,"Summer","Jun 14","Jul 8"
"16","temp","Big Bend Seagrasses Aquatic Preserve",2007,"Fall","Aug 31","Aug 30"
"17","temp","Big Bend Seagrasses Aquatic Preserve",2008,"Winter","Jan 15","Dec 6"
"18","temp","Big Bend Seagrasses Aquatic Preserve",2008,"Spring","Feb 18","Feb 11"
"19","temp","Big Bend Seagrasses Aquatic Preserve",2008,"Summer","Jun 14","Jun 18"
"20","temp","Big Bend Seagrasses Aquatic Preserve",2008,"Fall","Aug 31","Sep 17"
"21","temp","Big Bend Seagrasses Aquatic Preserve",2009,"Winter","Jan 15","Mar 13"
"22","temp","Big Bend Seagrasses Aquatic Preserve",2009,"Spring","Feb 18","Mar 14"
"23","temp","Big Bend Seagrasses Aquatic Preserve",2009,"Summer","Jun 14","Jun 19"
"24","temp","Big Bend Seagrasses Aquatic Preserve",2009,"Fall","Aug 31","Sep 13"
"25","temp","Big Bend Seagrasses Aquatic Preserve",2010,"Winter","Jan 15","Feb 5"
"26","temp","Big Bend Seagrasses Aquatic Preserve",2010,"Spring","Feb 18","Feb 21"
"27","temp","Big Bend Seagrasses Aquatic Preserve",2010,"Summer","Jun 14","Jun 7"
"28","temp","Big Bend Seagrasses Aquatic Preserve",2010,"Fall","Aug 31","Sep 9"
"29","temp","Big Bend Seagrasses Aquatic Preserve",2011,"Winter","Jan 15","Jan 9"
"30","temp","Big Bend Seagrasses Aquatic Preserve",2011,"Spring","Feb 18","Feb 16"
"31","temp","Big Bend Seagrasses Aquatic Preserve",2011,"Summer","Jun 14","Jun 10"
"32","temp","Big Bend Seagrasses Aquatic Preserve",2011,"Fall","Aug 31","Aug 24"
"33","temp","Big Bend Seagrasses Aquatic Preserve",2012,"Winter","Jan 15","Dec 6"
"34","temp","Big Bend Seagrasses Aquatic Preserve",2012,"Spring","Feb 18","Feb 21"
"35","temp","Big Bend Seagrasses Aquatic Preserve",2012,"Summer","Jun 14","May 9"
"36","temp","Big Bend Seagrasses Aquatic Preserve",2012,"Fall","Aug 31","Sep 20"
"37","temp","Big Bend Seagrasses Aquatic Preserve",2013,"Winter","Jan 15","Nov 11"
"38","temp","Big Bend Seagrasses Aquatic Preserve",2013,"Spring","Feb 18","Feb 29"
"39","temp","Big Bend Seagrasses Aquatic Preserve",2013,"Summer","Jun 14","May 21"
"40","temp","Big Bend Seagrasses Aquatic Preserve",2013,"Fall","Aug 31","Aug 11"
"41","temp","Big Bend Seagrasses Aquatic Preserve",2014,"Winter","Jan 15","Dec 8"
